track_name,artist_name,album_name,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,release_year
Dheere Dheere,Yo Yo Honey Singh,Dheere Dheere,4fyR24BKznXBLNkK8LwWla,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48e-05,0.0703,0.55,167.915,audio_features,4fyR24BKznXBLNkK8LwWla,spotify:track:4fyR24BKznXBLNkK8LwWla,https://api.spotify.com/v1/tracks/4fyR24BKznXBLNkK8LwWla,https://api.spotify.com/v1/audio-analysis/4fyR24BKznXBLNkK8LwWla,212413,4,67,2015
"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)",Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,0MAL4lkJiJgCwGdO0Q264f,0.796,0.85,1,-3.641,1,0.203,0.0992,0.0,0.129,0.559,136.03,audio_features,0MAL4lkJiJgCwGdO0Q264f,spotify:track:0MAL4lkJiJgCwGdO0Q264f,https://api.spotify.com/v1/tracks/0MAL4lkJiJgCwGdO0Q264f,https://api.spotify.com/v1/audio-analysis/0MAL4lkJiJgCwGdO0Q264f,212116,4,61,2018
"Kalaastar (From ""Honey 3.0"")",Yo Yo Honey Singh,Honey 3.0,0uR4wgF6ksqIEYpztFWGog,0.812,0.832,1,-3.333,0,0.0499,0.0659,0.0,0.0719,0.594,94.973,audio_features,0uR4wgF6ksqIEYpztFWGog,spotify:track:0uR4wgF6ksqIEYpztFWGog,https://api.spotify.com/v1/tracks/0uR4wgF6ksqIEYpztFWGog,https://api.spotify.com/v1/audio-analysis/0uR4wgF6ksqIEYpztFWGog,207789,4,57,2024
Party On My Mind,Yo Yo Honey Singh,Race 2 (Original Motion Picture Soundtrack),5Rn1DPzSzUktbhuNDDJocS,0.715,0.864,11,-5.013,0,0.0751,0.0188,0.0,0.719,0.57,122.016,audio_features,5Rn1DPzSzUktbhuNDDJocS,spotify:track:5Rn1DPzSzUktbhuNDDJocS,https://api.spotify.com/v1/tracks/5Rn1DPzSzUktbhuNDDJocS,https://api.spotify.com/v1/audio-analysis/5Rn1DPzSzUktbhuNDDJocS,222133,4,66,2012
"Paint It, Black",The Rolling Stones,Aftermath,63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,audio_features,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8,202267,4,85,1966
Start Me Up - Remastered 2009,The Rolling Stones,Tattoo You (2009 Re-Mastered),7HKez549fwJQDzx3zLjHKC,0.631,0.932,5,-4.142,1,0.0354,0.0436,0.137,0.0918,0.971,122.429,audio_features,7HKez549fwJQDzx3zLjHKC,spotify:track:7HKez549fwJQDzx3zLjHKC,https://api.spotify.com/v1/tracks/7HKez549fwJQDzx3zLjHKC,https://api.spotify.com/v1/audio-analysis/7HKez549fwJQDzx3zLjHKC,213067,4,81,1981
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4,79,1965
Beast Of Burden - Remastered 1994,The Rolling Stones,Some Girls,77oU2rjC5XbjQfNe3bD6so,0.783,0.878,1,-3.864,0,0.0308,0.39,0.000778,0.0426,0.885,100.626,audio_features,77oU2rjC5XbjQfNe3bD6so,spotify:track:77oU2rjC5XbjQfNe3bD6so,https://api.spotify.com/v1/tracks/77oU2rjC5XbjQfNe3bD6so,https://api.spotify.com/v1/audio-analysis/77oU2rjC5XbjQfNe3bD6so,265173,4,78,1978
Gimme Shelter,The Rolling Stones,Let It Bleed,6H3kDe7CGoWYBabAeVWGiD,0.634,0.63,1,-8.277,0,0.031,0.447,0.039,0.17,0.489,118.628,audio_features,6H3kDe7CGoWYBabAeVWGiD,spotify:track:6H3kDe7CGoWYBabAeVWGiD,https://api.spotify.com/v1/tracks/6H3kDe7CGoWYBabAeVWGiD,https://api.spotify.com/v1/audio-analysis/6H3kDe7CGoWYBabAeVWGiD,270773,4,78,1969
Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,Beggars Banquet (50th Anniversary Edition),1Ud6moTC0KyXMq1Oxfien0,0.702,0.668,9,-9.237,1,0.214,0.518,0.0,0.0588,0.561,116.063,audio_features,1Ud6moTC0KyXMq1Oxfien0,spotify:track:1Ud6moTC0KyXMq1Oxfien0,https://api.spotify.com/v1/tracks/1Ud6moTC0KyXMq1Oxfien0,https://api.spotify.com/v1/audio-analysis/1Ud6moTC0KyXMq1Oxfien0,378147,4,75,1968
